season,round,pick,team,pfr_player_id,pfr_player_name,college,position,position_rank,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,unique_id,college_carries,college_tds,college_yards,college_long,college_ypc,pfr_id,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,receptions,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,fantasy_points
2017,4,134,GNB,WillJa06,Jamaal Williams,BYU,RB,RB13,6-0,212.0,4.59,,30.0,123.0,7.25,4.53,jamaalwilliamsrbbyu,726.0,35.0,3901.0,70.0,5.4,WillJa06,153.0,556.0,4.0,0.0,0.0,25.0,262.0,2.0,0.0,0.0,142.8
2017,4,140,NYG,GallWa00,Wayne Gallman,Clemson,RB,RB14,6-0,215.0,4.6,21.0,29.5,120.0,7.17,4.28,waynegallmanrbclemson,676.0,34.0,3429.0,66.0,5.1,GallWa00,111.0,476.0,0.0,3.0,1.0,34.0,193.0,1.0,0.0,0.0,104.9
2017,4,143,IND,MackMa00,Marlon Mack,South Florida,RB,RB15,5-11,213.0,4.5,15.0,35.5,125.0,,,marlonmackrbsouthflorida,586.0,32.0,3609.0,85.0,6.2,MackMa00,93.0,358.0,3.0,1.0,0.0,21.0,225.0,1.0,0.0,0.0,103.3
2017,5,156,ATL,HillBr02,Brian Hill,Wyoming,RB,RB16,6-1,219.0,4.54,15.0,34.0,125.0,7.03,4.32,brianhillrbwyoming,775.0,35.0,4287.0,89.0,5.5,HillBr02,11.0,37.0,0.0,0.0,0.0,2.0,36.0,0.0,0.0,0.0,9.3
2017,5,162,TAM,McNiJe00,Jeremy McNichols,Boise St.,RB,RB17,5-9,214.0,4.49,,35.5,121.0,6.93,4.28,jeremymcnicholsrbboisest,571.0,44.0,3205.0,88.0,5.6,McNiJe00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,5,179,ARI,LogaT.00,T.J. Logan,North Carolina,RB,RB18,5-9,196.0,4.37,17.0,33.5,121.0,,,tjloganrbnorthcarolina,398.0,19.0,2165.0,63.0,5.4,LogaT.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,5,182,GNB,JoneAa00,Aaron Jones,Texas-El Paso,RB,RB19,5-9,208.0,4.56,16.0,37.5,127.0,6.82,4.2,aaronjonesrbtexaselpaso,,,,,,JoneAa00,81.0,448.0,4.0,0.0,0.0,9.0,22.0,0.0,0.0,0.0,80.0
2017,6,188,NYJ,McGuEl00,Elijah McGuire,Louisiana,RB,RB20,5-10,214.0,4.53,15.0,36.0,120.0,7.26,4.56,elijahmcguirerblouisiana,711.0,42.0,4312.0,88.0,6.1,McGuEl00,88.0,315.0,1.0,1.0,1.0,17.0,177.0,1.0,1.0,1.0,74.2
2017,6,203,DEN,HendDe01,De'Angelo Henderson,Coastal Carolina,RB,RB21,,,,,,,,,deangelohendersonrbcoastalcarolina,,,,,,HendDe01,7.0,13.0,0.0,0.0,0.0,2.0,36.0,1.0,0.0,0.0,12.9
2017,6,207,CIN,WilsBr01,Brandon Wilson,Houston,RB,RB22,,,,,,,,,brandonwilsonrbhouston,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
